IMKE,STANDARD CHARTERED BANK DUBAI AED,AED,19991211504015,15209922101AED
IMKE,STANDARD CHARTERED BANK -AUD,AUD,19990911504013,1270481192
IMKE,CITIBANK LONDON - CAD,CAD,19990811504012,GB88CITI18500818404186
IMKE,HABIB AG ZURICH - CHF,CHF,19991111504014,1-1-1-20110-1-110401
IMKE,STANDARD CHARTERED HONG KONG - CNY,CNY,19992011504016,44709458854
IMKE,COMMERZBANK AG,EUR,19990611504008,400877005900 EUR
IMKE,JP MORGAN AG FRANKFURT EUR,EUR,19990611504009,6231609600
IMKE,STANDARD CHARTERED BANK - FFT - EUR,EUR,19990611504007,18110110
IMKE,CITIBANK LONDON - GBP,GBP,19990511504004,GB30CITI18500808316260
IMKE,JP MORGAN LONDON - GBP,GBP,19990511504006,67101063
IMKE,STANDARD CHARTERED BANK - LONDON- GBP,GBP,19990511504005,1269734301
IMKE,HDFC BANK - INR,INR,19991311504016,600390000077
IMKE,ICICI BANK LTD - INR,INR,19991311504017,405075152
IMKE,YES BANK INDIA-INR,INR,19991311504012,186800000205
IMKE,BANK OF TOKYO - JPY,JPY,19990711504011,653-0425699
IMKE,STANDARD CHARTERED BANK - TOKYO - JPY,JPY,19990711504010,23414841110
IMKE,CO-OPERATIVE BANK LTD - KES,KES,19990111501001,1175000074200
IMKE,BANK ONE LTD - MUR,MUR,19991724051004,9199065685
IMKE,I&M BANK (RWANDA) LIMITED,RWF,19990224051001,25042907001
IMKE,I&M BANK (T) LTD - TZS,TZS,19990324051003,30003547001
IMKE,DFCU BANK UGANDA,UGX,19991611504014,1013501211250
IMKE,BANK ONE LTD - USD,USD,19990424051004,794260539
IMKE,CITIBANK NEW YORK - USD,USD,19990411504018,36126297
IMKE,I&M BANK (T) LTD - USD,USD,19990424051002,10035471111
IMKE,JP MORGAN NEW YORK - USD,USD,19990411504003,922195750
IMKE,STANDARD CHARTERED BANK - NY- USD,USD,19990411504001,3582023234001
IMKE,ICICI BANK HONG KONG (USD),USD),19990411504002,852032336
IMKE,STANDARD BANK OF S.A - ZAR,ZAR,19991411504013,7222524
IMKE,CURRENT ACCOUNT WITH CBK - KES,KES,19990110501001,1000004479
IMKE,CURRENT ACCOUNT WITH CBK - GBP,GBP,19990510505002,1000006088
IMKE,CURRENT ACCOUNT WITH CBK - EUR,EUR,19990610505001,1000006471
IMKE,CURRENT ACCOUNT WITH CBK - USD,USD,19990410505006,1000005308
IMKE,CURRENT ACCOUNT WITH CENTRAL BANK-FCY-TZS,TZS,19990310505004,1000137193
IMKE,CURRENT ACCOUNT WITH CENTRAL BANK-FCY-UGX,UGX,19991610505005,1000137223
IMKE,CURRENT ACCOUNT WITH CENTRAL BANK-FCY-RWF,RWF,19990210505003,1000206233
IMKE,STANDARD CHARTERED BANK -AUD,AUD,19990911504013,01270481192
IMKE,CITIBANK LONDON - CAD,CAD,19990811504012,18404186
IMKE,STANDARD CHARTERED BANK - FFT - EUR,EUR,19990611504007,018110110
IMKE,CITIBANK LONDON - GBP,GBP,19990511504004,8316260
IMKE,JP MORGAN LONDON - GBP,GBP,19990511504006,0067101063
IMKE,STANDARD CHARTERED BANK - LONDON- GBP,GBP,19990511504005,01269734301
IMKE,HDFC BANK - INR,INR,19991311504016,00600390000077
IMKE,ICICI BANK LTD - INR,INR,19991311504017,000405075152
IMKE,YES BANK INDIA-INR,INR,19991311504012,000186800000205
IMKE,CO-OPERATIVE BANK LTD - KES,KES,19990111501001,01175000074200
IMKE,DFCU BANK UGANDA,UGX,19991611504014,01013501211250
IMKE,BANK ONE LTD - USD,USD,19990424051004,0794260539
IMKE,CITIBANK NEW YORK - USD,USD,19990411504018,36126297/ATT:MR. RAJANI
